"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
13269,2021,56.1,"Hotter"
13307,2021,57,"Hotter"
13311,2021,49.7,"Hotter"
19003,2021,35.2,"Hotter"
13113,2021,54.4,"Hotter"
13117,2021,51.8,"Hotter"
13123,2021,49.4,"Hotter"
13125,2021,55.8,"Hotter"
13149,2021,53.8,"Hotter"
13163,2021,56.7,"Hotter"
13165,2021,57.9,"Hotter"
13177,2021,58.8,"Hotter"
13239,2021,57.6,"Hotter"
13245,2021,56.6,"Hotter"
13249,2021,56.8,"Hotter"
13267,2021,59,"Hotter"
13275,2021,61,"Hotter"
13289,2021,57.3,"Hotter"
13295,2021,50.9,"Hotter"
13305,2021,59.8,"Hotter"
13313,2021,51.4,"Hotter"
13321,2021,59.3,"Hotter"
13119,2021,52.2,"Hotter"
13147,2021,52.5,"Hotter"
13183,2021,60,"Hotter"
13187,2021,49.9,"Hotter"
13195,2021,52.7,"Hotter"
13217,2021,54.2,"Hotter"
13241,2021,47.5,"Hotter"
13247,2021,54,"Hotter"
13281,2021,47.4,"Hotter"
13291,2021,48.1,"Hotter"
13303,2021,56.5,"Hotter"
13315,2021,58.5,"Hotter"
13317,2021,54.1,"Hotter"
13129,2021,51.4,"Hotter"
13131,2021,61.2,"Hotter"
13133,2021,54.6,"Hotter"
13139,2021,51.9,"Hotter"
13141,2021,55.3,"Hotter"
13157,2021,52.7,"Hotter"
13175,2021,58,"Hotter"
13199,2021,54.5,"Hotter"
13201,2021,60.4,"Hotter"
13221,2021,53.8,"Hotter"
13223,2021,52.6,"Hotter"
13237,2021,55.1,"Hotter"
13243,2021,57.7,"Hotter"
13253,2021,61,"Hotter"
13265,2021,54.6,"Hotter"
13297,2021,53.6,"Hotter"
13319,2021,57.1,"Hotter"
13137,2021,50.2,"Hotter"
13143,2021,52.2,"Hotter"
13153,2021,57.5,"Hotter"
13181,2021,54.1,"Hotter"
13185,2021,60.7,"Hotter"
13213,2021,51,"Hotter"
13227,2021,50.8,"Hotter"
13231,2021,55,"Hotter"
13259,2021,56.9,"Hotter"
13263,2021,55.3,"Hotter"
13273,2021,58.2,"Hotter"
13299,2021,60.2,"Hotter"
19017,2021,74.2,"Hotter"
19137,2021,35.6,"Hotter"
21035,2021,50.8,"Hotter"
21087,2021,49,"Hotter"
21091,2021,46.4,"Hotter"
21095,2021,44.5,"Hotter"
21099,2021,49.1,"Hotter"
21151,2021,47.2,"Hotter"
21155,2021,48,"Hotter"
21177,2021,48.1,"Hotter"
21193,2021,47,"Hotter"
21201,2021,45.1,"Hotter"
19145,2021,36.5,"Hotter"
19175,2021,35.2,"Hotter"
19191,2021,72.9,"Hotter"
21001,2021,48.4,"Hotter"
21009,2021,49.8,"Hotter"
21037,2021,44.1,"Hotter"
21039,2021,49.7,"Hotter"
21045,2021,47.4,"Hotter"
21047,2021,48.8,"Hotter"
21093,2021,48,"Hotter"
21115,2021,46.6,"Hotter"
21117,2021,44.1,"Hotter"
21119,2021,46.8,"Hotter"
21153,2021,46.7,"Hotter"
21173,2021,46.1,"Hotter"
21189,2021,47.5,"Hotter"
21211,2021,46.6,"Hotter"
21007,2021,49.4,"Hotter"
21015,2021,44.2,"Hotter"
21019,2021,46.1,"Hotter"
21025,2021,47.2,"Hotter"
21029,2021,48.2,"Hotter"
21049,2021,46.4,"Hotter"
21079,2021,47.5,"Hotter"
21081,2021,45.1,"Hotter"
21085,2021,48.4,"Hotter"
21103,2021,46,"Hotter"
21175,2021,46.5,"Hotter"
21185,2021,46.2,"Hotter"
21003,2021,50,"Hotter"
21017,2021,45.9,"Hotter"
21027,2021,47.3,"Hotter"
21033,2021,48.7,"Hotter"
21053,2021,48.5,"Hotter"
21073,2021,46.9,"Hotter"
21097,2021,45.6,"Hotter"
21113,2021,47.1,"Hotter"
21141,2021,48.4,"Hotter"
21149,2021,47.2,"Hotter"
21163,2021,47.1,"Hotter"
21179,2021,48,"Hotter"
21181,2021,45.5,"Hotter"
19173,2021,36.2,"Hotter"
21041,2021,45.6,"Hotter"
21051,2021,47.2,"Hotter"
21063,2021,46,"Hotter"
21065,2021,47.2,"Hotter"
21077,2021,45.2,"Hotter"
21111,2021,47.7,"Hotter"
21123,2021,48.2,"Hotter"
21131,2021,46.4,"Hotter"
21137,2021,47.3,"Hotter"
21159,2021,46.7,"Hotter"
21161,2021,44.5,"Hotter"
21165,2021,46.3,"Hotter"
21169,2021,49,"Hotter"
21195,2021,46.6,"Hotter"
19159,2021,36.6,"Hotter"
21013,2021,45.5,"Hotter"
21023,2021,44.5,"Hotter"
21067,2021,46.4,"Hotter"
21069,2021,45.5,"Hotter"
21109,2021,46.9,"Hotter"
21125,2021,47.5,"Hotter"
21127,2021,46.4,"Hotter"
21129,2021,47.3,"Hotter"
21135,2021,44.6,"Hotter"
21145,2021,49.5,"Hotter"
21157,2021,50,"Hotter"
21191,2021,44.9,"Hotter"
21203,2021,47.2,"Hotter"
21043,2021,45.4,"Hotter"
21055,2021,47.8,"Hotter"
21057,2021,49.5,"Hotter"
21061,2021,49.5,"Hotter"
21083,2021,50.1,"Hotter"
21101,2021,46.1,"Hotter"
21133,2021,46.2,"Hotter"
21139,2021,48.6,"Hotter"
21147,2021,47,"Hotter"
21183,2021,47.9,"Hotter"
21187,2021,45.8,"Hotter"
21199,2021,47.4,"Hotter"
21207,2021,47.9,"Hotter"
21005,2021,47.2,"Hotter"
21011,2021,46.2,"Hotter"
21021,2021,47.5,"Hotter"
21031,2021,48.8,"Hotter"
21059,2021,46.7,"Hotter"
21071,2021,47.2,"Hotter"
21075,2021,50.2,"Hotter"
21089,2021,44.7,"Hotter"
21105,2021,50,"Hotter"
21107,2021,48,"Hotter"
21121,2021,46.9,"Hotter"
21143,2021,49.4,"Hotter"
21167,2021,47.5,"Hotter"
21171,2021,49.6,"Hotter"
21197,2021,46.7,"Hotter"
21205,2021,45.9,"Hotter"
21209,2021,46.1,"Hotter"
28001,2021,61.1,"Hotter"
28017,2021,57,"Hotter"
28033,2021,54.7,"Hotter"
28049,2021,60.3,"Hotter"
28059,2021,62.3,"Hotter"
28081,2021,56.2,"Hotter"
28105,2021,57.2,"Hotter"
28125,2021,59.1,"Hotter"
28129,2021,59.7,"Hotter"
36013,2021,35.9,"Hotter"
21215,2021,47.4,"Hotter"
28025,2021,57.2,"Hotter"
28029,2021,61,"Hotter"
28053,2021,59.4,"Hotter"
28065,2021,61.1,"Hotter"
28073,2021,61.4,"Hotter"
28089,2021,58.8,"Hotter"
28097,2021,59.4,"Hotter"
28103,2021,56.7,"Hotter"
28131,2021,61.6,"Hotter"
21235,2021,47.2,"Hotter"
28037,2021,61.3,"Hotter"
28039,2021,61.5,"Hotter"
