,YEAR,Type,PRECIPITATION_MA,TEMPERATURE_MA
272,2017,2,0.27,48.3
273,2017,2,0.28,69.9
274,2016,2,9.39,42.5
275,2016,2,0.26,69.4
276,2015,2,11.38,42.5
277,2015,2,0.08,73.0
278,2014,2,0.0,70.3
279,2014,2,18.23,46.9
280,2013,2,1.11,68.5
281,2013,2,0.62,46.6
282,2012,2,15.62,42.6
283,2012,2,0.09,64.9
284,2004,2,14.32,46.0
285,2004,2,0.03,67.1
286,2003,2,0.0,68.6
287,2003,2,20.13,43.3
288,2011,2,1.73,64.3
289,2011,2,0.45,44.4
290,2002,2,0.0,68.3
291,2002,2,25.78,44.5
292,2010,2,11.76,44.1
293,2010,2,0.19,66.1
294,2009,2,5.16,41.9
295,2009,2,0.32,65.5
296,2001,2,0.41,67.8
297,2001,2,14.96,43.3
298,2000,2,1.59,46.0
299,2000,2,0.8,69.5
300,2008,2,0.01,68.2
301,2008,2,4.61,41.7
302,2007,2,7.21,41.4
303,2007,2,0.0,66.9
304,2006,2,0.05,70.0
305,2006,2,7.87,44.1
306,2005,2,1.53,61.7
307,2005,2,23.03,45.4
308,2021,2,0.34,66.6
309,2021,2,5.54,30.6
310,2020,2,0.39,59.6
311,2020,2,2.26,32.0
312,2019,2,0.46,59.8
313,2019,2,3.76,32.8
314,2018,2,0.32,60.2
315,2018,2,2.37,31.2
316,2017,2,0.66,61.8
317,2017,2,0.47,33.0
318,2016,2,4.08,29.4
319,2016,2,0.56,61.6
320,2015,2,0.74,65.8
321,2015,2,4.56,29.9
322,2014,2,0.22,61.4
323,2014,2,5.58,35.1
324,2013,2,1.06,61.4
325,2013,2,0.23,28.8
326,2012,2,0.79,57.6
327,2012,2,5.74,29.4
328,2004,2,2.37,32.9
329,2004,2,0.39,60.8
330,2003,2,0.16,63.0
331,2003,2,4.88,32.1
332,2011,2,1.84,55.9
333,2011,2,0.21,31.2
334,2002,2,0.15,61.2
335,2002,2,4.94,32.8
336,2010,2,5.28,33.8
337,2010,2,0.5,58.0
338,2009,2,1.96,57.5
339,2009,2,2.7,26.1
340,2001,2,0.26,59.7
341,2001,2,3.85,30.3
342,2000,2,0.4,62.2
343,2000,2,0.74,33.8
344,2008,2,1.86,29.3
345,2008,2,0.07,59.0
346,2007,2,1.89,27.9
347,2007,2,0.45,59.9
348,2006,2,1.43,31.0
349,2006,2,0.29,62.8
350,2005,2,1.73,53.9
351,2005,2,7.34,33.4
352,2021,2,0.51,62.8
353,2021,2,5.62,28.9
354,2020,2,0.31,56.8
355,2020,2,1.03,31.1
356,2019,2,0.23,56.5
357,2019,2,2.15,29.0
358,2018,2,0.01,59.9
359,2018,2,0.75,29.9
360,2017,2,0.12,59.4
361,2017,2,0.16,34.4
362,2016,2,0.6,60.9
363,2016,2,2.26,30.8
364,2015,2,0.88,60.9
365,2015,2,2.03,27.1
366,2014,2,0.04,58.9
367,2014,2,1.58,32.0
368,2013,2,0.08,60.5
369,2013,2,0.72,29.3
370,2012,2,0.21,57.9
371,2012,2,5.28,26.9
372,2004,2,0.24,58.3
373,2004,2,3.59,30.2
374,2003,2,3.26,28.2
375,2003,2,0.09,59.4
376,2011,2,1.25,53.4
377,2011,2,0.01,28.4
378,2002,2,0.09,59.2
379,2002,2,4.26,27.3
380,2010,2,6.89,31.7
381,2010,2,0.01,56.7
382,2009,2,2.36,25.4
383,2009,2,1.06,53.2
384,2001,2,2.9,27.4
385,2001,2,0.01,59.1
386,2000,2,0.24,33.9
387,2000,2,0.57,59.3
388,2008,2,0.0,57.0
389,2008,2,1.58,27.9
390,2007,2,1.81,26.9
391,2007,2,0.13,58.8
392,2006,2,1.21,29.8
393,2006,2,0.11,59.6
394,2005,2,5.85,31.9
395,2005,2,0.16,53.0
396,2021,1,16.39,38.1
397,2021,1,0.07,68.5
398,2020,1,4.34,40.6
399,2020,1,0.26,63.8
400,2019,1,10.26,39.3
401,2019,1,0.46,65.0
402,2018,1,0.14,65.1
403,2018,1,4.41,38.7
404,2017,1,0.65,65.6
405,2017,1,0.92,43.2
406,2016,1,0.15,65.7
407,2016,1,11.22,37.7
408,2015,1,11.46,35.6
409,2015,1,0.63,68.2
410,2014,1,0.0,65.2
411,2014,1,12.87,40.3
412,2013,1,1.07,39.4
413,2013,1,1.73,65.1
414,2012,1,1.17,61.7
415,2012,1,15.16,35.8
416,2004,1,9.7,39.7
417,2004,1,0.14,64.4
418,2003,1,0.1,65.2
419,2003,1,14.43,37.9
420,2011,1,0.18,40.0
421,2011,1,3.05,58.6
422,2002,1,17.2,37.9
423,2002,1,0.03,65.0
424,2010,1,0.22,61.6
425,2010,1,17.54,38.7
426,2009,1,7.2,35.8
427,2009,1,0.96,61.3
428,2001,1,0.21,64.3
429,2001,1,14.25,36.8
430,2000,1,0.6,66.0
431,2000,1,2.47,41.4
432,2008,1,0.0,64.1
433,2008,1,6.35,36.8
434,2007,1,0.51,63.8
435,2007,1,7.74,35.0
436,2006,1,0.2,66.1
437,2006,1,6.96,38.5
438,2005,1,25.84,40.9
439,2005,1,1.98,57.9
440,2021,14,0.01,62.6
441,2021,14,9.29,49.5
442,2020,14,2.17,52.2
443,2020,14,0.0,63.2
444,2019,14,4.78,52.0
445,2019,14,0.0,63.0
446,2018,14,2.38,52.3
447,2018,14,0.0,60.9
448,2017,14,0.19,61.7
449,2017,14,0.15,52.8
450,2016,14,5.54,50.1
451,2016,14,0.01,61.9
452,2015,14,0.23,61.7
453,2015,14,5.19,50.0
454,2014,14,0.01,61.1
455,2014,14,13.46,55.2
456,2013,14,0.46,49.9
457,2013,14,0.28,61.8
458,2012,14,0.16,60.1
459,2012,14,8.85,50.2
460,2004,14,0.0,60.2
461,2004,14,7.77,51.3
462,2003,14,0.0,61.3
463,2003,14,8.34,51.1
464,2011,14,0.14,50.1
465,2011,14,1.02,59.0
466,2002,14,0.02,59.6
467,2002,14,13.49,52.1
468,2010,14,0.05,59.9
469,2010,14,8.24,51.5
470,2009,14,3.15,48.6
471,2009,14,0.03,60.8
472,2001,14,0.16,62.0
473,2001,14,11.24,50.8
474,2000,14,0.21,60.8
475,2000,14,0.86,51.7
476,2008,14,3.1,48.7
477,2008,14,0.0,60.4
478,2007,14,3.89,48.8
479,2007,14,0.0,59.9
480,2006,14,5.04,50.5
481,2006,14,0.0,62.1
482,2005,14,12.08,52.9
483,2005,14,0.81,60.0
484,2021,14,0.0,68.4
485,2021,14,10.12,46.5
486,2020,14,2.12,49.4
487,2020,14,0.01,67.5
488,2019,14,0.02,68.0
489,2019,14,6.32,48.2
490,2018,14,0.0,66.9
491,2018,14,2.9,48.5
492,2017,14,0.08,68.2
493,2017,14,0.14,49.6
494,2016,14,0.0,69.0
495,2016,14,4.19,47.1
496,2015,14,0.07,69.0
497,2015,14,4.79,45.2
498,2014,14,0.01,67.1
